1,Kursus Mengemudi ADHI,Kursus Mengemudi Mobil,"JL. Danau Ranau III, Blok G I/A3, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139",-7.9674653,112.647747,(0341) 7700433,-,-,-,Tidak Ada,-,-,-,-,-,Privat,1 Orang
2,Kursus Mengemudi AZIZ,Kursus Mengemudi Mobil,"Jl. Trunojoyo, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119",-7.9671698,112.6333361,0812-3292-897,http://kursusmengemudiaziz.com/,Paket,"Paket Dasar Manual 2 x 90 menit Rp 250.000,-;Paket Dasar Manual 3 x 90 menit Rp 375.000,-;Paket Dasar Manual 4 x 90 menit Rp 500.000,-;Paket Dasar Manual 5 x 90 menit Rp 625.000,-;Paket Dasar Manual 7 x 90 menit Rp 750.000,-;",Ada,"Materi Pelajaran lengkap (Ada Buku Panduan), Instruktur Tetap (Instruktur bisa sesuai dengan permintaan / By request), Jadwal Belajar Fleksibel (Sabtu, Minggu & hari libur tetap buka), Bebas Pilih Armada, Bisa Antar Jemput, BBM Tidak Dibatasi, Tepat Waktu dan Durasi Waktu Belajar Utuh",Pagi,-,Setiap Hari,"Senin        07.30–17.00
Selasa        07.30–17.00
Rabu        07.30–17.00
Kamis        07.30–17.00
Jumat        07.30–17.00
Sabtu        07.30–17.00
Minggu        07.30–17.00",Privat,1 Orang
3,Kursus Mengemudi AZIZ,Kursus Mengemudi Mobil,"Jl. Danau Toba No.22, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139",-7.9684501,112.6374883,(0341) 717099,http://kursusmengemudiaziz.com/,Paket,"Paket Dasar Manual 2 x 90 menit Rp 250.000,-;Paket Dasar Manual 3 x 90 menit Rp 375.000,-;Paket Dasar Manual 4 x 90 menit Rp 500.000,-;Paket Dasar Manual 5 x 90 menit Rp 625.000,-;Paket Dasar Manual 7 x 90 menit Rp 750.000,-;",Ada,"Materi Pelajaran lengkap (Ada Buku Panduan), Instruktur Tetap (Instruktur bisa sesuai dengan permintaan / By request), Jadwal Belajar Fleksibel (Sabtu, Minggu & hari libur tetap buka), Bebas Pilih Armada, Bisa Antar Jemput, BBM Tidak Dibatasi, Tepat Waktu dan Durasi Waktu Belajar Utuh",Pagi,-,Setiap Hari,"Selasa	07.30–17.00
Rabu	07.30–17.00
Kamis	07.30–17.00
Jumat	07.30–17.00
Sabtu	07.30–17.00
Minggu	07.30–17.00
Senin	07.30–17.00",Privat,1 Orang
4,Kursus Mengemudi AZIZ,Kursus Mengemudi Mobil,"Jl. Mayjend. Panjaitan No.20, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",-7.9556767,112.6150723,0812-3292-897,http://kursusmengemudiaziz.com/,Paket,"Paket Dasar Manual 2 x 90 menit Rp 250.000,-;Paket Dasar Manual 3 x 90 menit Rp 375.000,-;Paket Dasar Manual 4 x 90 menit Rp 500.000,-;Paket Dasar Manual 5 x 90 menit Rp 625.000,-;Paket Dasar Manual 7 x 90 menit Rp 750.000,-;",Ada,"Materi Pelajaran lengkap (Ada Buku Panduan), Instruktur Tetap (Instruktur bisa sesuai dengan permintaan / By request), Jadwal Belajar Fleksibel (Sabtu, Minggu & hari libur tetap buka), Bebas Pilih Armada, Bisa Antar Jemput, BBM Tidak Dibatasi, Tepat Waktu dan Durasi Waktu Belajar Utuh",Pagi,-,Setiap Hari,"Selasa	07.30–17.00
Rabu	07.30–17.00
Kamis	07.30–17.00
Jumat	07.30–17.00
Sabtu	07.30–17.00
Minggu	07.30–17.00
Senin	07.30–17.00",Privat,1 Orang
5,Kursus Mengemudi AZIZ,Kursus Mengemudi Mobil,"Jl. Bogor No.26, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65145",-7.9556767,112.6150723,0812-3292-897,http://kursusmengemudiaziz.com/,Paket,"Paket Dasar Manual 2 x 90 menit Rp 250.000,-;Paket Dasar Manual 3 x 90 menit Rp 375.000,-;Paket Dasar Manual 4 x 90 menit Rp 500.000,-;Paket Dasar Manual 5 x 90 menit Rp 625.000,-;Paket Dasar Manual 7 x 90 menit Rp 750.000,-;",Ada,"Materi Pelajaran lengkap (Ada Buku Panduan), Instruktur Tetap (Instruktur bisa sesuai dengan permintaan / By request), Jadwal Belajar Fleksibel (Sabtu, Minggu & hari libur tetap buka), Bebas Pilih Armada, Bisa Antar Jemput, BBM Tidak Dibatasi, Tepat Waktu dan Durasi Waktu Belajar Utuh",Pagi,-,Setiap Hari,"Selasa	07.30–17.00
Rabu	07.30–17.00
Kamis	07.30–17.00
Jumat	07.30–17.00
Sabtu	07.30–17.00
Minggu	07.30–17.00
Senin	07.30–17.00",Privat,1 Orang
6,Kursus Mengemudi AZIZ,Kursus Mengemudi Mobil,"Jl. Tirto Joyo, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9556756,112.5772256,0812-3292-897,http://kursusmengemudiaziz.com/,Paket,"Paket Dasar Manual 2 x 90 menit Rp 250.000,-;Paket Dasar Manual 3 x 90 menit Rp 375.000,-;Paket Dasar Manual 4 x 90 menit Rp 500.000,-;Paket Dasar Manual 5 x 90 menit Rp 625.000,-;Paket Dasar Manual 7 x 90 menit Rp 750.000,-;",Ada,"Materi Pelajaran lengkap (Ada Buku Panduan), Instruktur Tetap (Instruktur bisa sesuai dengan permintaan / By request), Jadwal Belajar Fleksibel (Sabtu, Minggu & hari libur tetap buka), Bebas Pilih Armada, Bisa Antar Jemput, BBM Tidak Dibatasi, Tepat Waktu dan Durasi Waktu Belajar Utuh",Pagi,-,Setiap Hari,"Selasa	07.30–17.00
Rabu	07.30–17.00
Kamis	07.30–17.00
Jumat	07.30–17.00
Sabtu	07.30–17.00
Minggu	07.30–17.00
Senin	07.30–17.00",Privat,1 Orang
7,Kursus Mengemudi CIPONDOH,Kursus Mengemudi Mobil,"Gadang Gg. 19 No.2, Gadang, Kec. Sukun, Kota Malang, Jawa Timur 65149",-7.985816,112.6262503,(0341) 801870,-,-,-,Tidak Ada,-,,-,-,-,Privat,1 Orang
8,Kursus Mengemudi DEVHAS,Kursus Mengemudi Mobil,"Jln teluk Bayur 2 rt:03/rw:08, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65125",-7.950492,112.6459779,0895-3223-56562,https://kursusmengemudidevhas.business.site/,-,-,Tidak Ada,-,Pagi,-,Setiap Hari,"Selasa	06.00–20.00
Rabu	06.00–20.00
Kamis	06.00–20.00
Jumat	06.00–20.00
Sabtu	06.00–20.00
Minggu	06.00–20.00
Senin	06.00–20.00",Privat,1 Orang
9,Kursus Mengemudi LANCAR 28,Kursus Mengemudi Mobil,"Jl. Terusan Sulfat No.3, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65124",-7.9589224,112.6477831,0878-0066-2828,http://kursusmengemudimurahlancar28.blogspot.com/,-,-,Tidak Ada,-,Siang,-,Setiap Hari,"Selasa	08.00–20.00
Rabu	08.00–20.00
Kamis	08.00–20.00
Jumat	08.00–20.00
Sabtu	08.00–20.00
Minggu	08.00–20.00
Senin	08.00–20.00",Privat,1 Orang
10,Kursus Mengemudi LANCAR 28,Kursus Mengemudi Mobil,"Jl. Bandung No.4, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65111",-7.9663603,112.6190805,0878-0066-2828,https://kursusmengemudilancar28.business.site/,-,-,Tidak Ada,-,Siang,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,1 Orang
11,Kursus Mengemudi NATUNA,Kursus Mengemudi Mobil,"Depan Mc. Donals Kayutangan, Jl. Brigjend Slamet Riadi No.2a, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",-7.9681227,112.6199612,0823-3188-6990,https://business.google.com/website/kantor-pusat-kursus-mengemudi-natuna,Paket,"Paket Dasar Manual 10 x 45 menit Rp 650.000,-;Paket Dasar Matic 10 x 45 menit Rp 725.000,-;Paket Dasar Mix (Manual - Matic) 12 x 45 menit Rp 650.000,-",Ada,"Materi diajarkan sangat detail, Instruktur berpengalaman dan Sabar, Jam belajar bebas, menyesuaikan siswa, Biaya kursus mengemudi bisa diangsur, Mobil full AC, Antar jemput, 1 mobil 1 siswa 1 instruktur",Pagi,-,Hari Kerja,"Selasa	06.00–17.00
Rabu	06.00–17.00
Kamis	06.00–17.00
Jumat	06.00–17.00
Sabtu	06.00–17.00
Minggu	Tutup
Senin	06.00–17.00",Privat,1 Orang
12,Kursus Mengemudi NATUNA,Kursus Mengemudi Mobil,"Jl. Mayjend. Panjaitan No.6, Samaan, Kec. Klojen, Kota Malang, Jawa Timur 65113",-7.9556767,112.6150723,0857-4843-0302,https://business.google.com/website/kantor-pusat-kursus-mengemudi-natuna,Paket,"Paket Dasar Manual 10 x 45 menit Rp 650.000,-;Paket Dasar Matic 10 x 45 menit Rp 725.000,-;Paket Dasar Mix (Manual - Matic) 12 x 45 menit Rp 650.000,-",Ada,"Materi diajarkan sangat detail, Instruktur berpengalaman dan Sabar, Jam belajar bebas, menyesuaikan siswa, Biaya kursus mengemudi bisa diangsur, Mobil full AC, Antar jemput, 1 mobil 1 siswa 1 instruktur",Pagi,-,Setiap Hari,"Selasa	06.00–17.00
Rabu	06.00–17.00
Kamis	06.00–17.00
Jumat	06.00–17.00
Sabtu	06.00–16.00
Minggu	08.00–15.00
Senin	06.00–17.00",Privat,1 Orang
13,Kursus Mengemudi NATUNA,Kursus Mengemudi Mobil,"Jl. Raya Tlogomas No.10, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9464253,112.5911189,0815-5635-550,https://business.google.com/website/kantor-pusat-kursus-mengemudi-natuna,Paket,"Paket Dasar Manual 10 x 45 menit Rp 650.000,-;Paket Dasar Matic 10 x 45 menit Rp 725.000,-;Paket Dasar Mix (Manual - Matic) 12 x 45 menit Rp 650.000,-",Ada,"Materi diajarkan sangat detail, Instruktur berpengalaman dan Sabar, Jam belajar bebas, menyesuaikan siswa, Biaya kursus mengemudi bisa diangsur, Mobil full AC, Antar jemput, 1 mobil 1 siswa 1 instruktur",,-,Hari Kerja,"Selasa        08.00–16.00
Rabu        08.00–16.00
Kamis        08.00–16.00
Jumat        08.00–16.00
Sabtu        08.00–16.00
Minggu        Tutup
Senin        08.00–16.00",Privat,1 Orang
